Ponzi,37,ponzi,5,double,5,doubling,5,doubler,5,multiply,5,multiplying,5,multiplier,5,multipliers,5,hyip,3,revshare,1,invest,3,investment,3,investment plan,3,investing,3,MLM,5,multilayer,5,multi layer,1,pyramid,1,matrix,5,h/w,1,generator,2,collateral,1,hyip,1,daily,1,weekly,3,monthly,3,stable income,5,profit,3,1:10,1,10hrs,1,10x,1,100x,1,layer,1,level,1,earn,2,earning,2,earnings,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake services,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake exchange,20,exchange,1,exchanges,1,paypal,1,cash out,1,get cash,1,conversion form,3,convert,1,converts,1,fast conversion,3,btctrade,3,trade,1,trades,1,buy,1,sell,1,exchanging,1,converting,1,trading,1,regulatory oversight,3,trading fees,3,binance,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake wallet,7,deposit,1,accountviewer,1,account viewer,1,wallet,1,web wallet,5,ether wallet,5,ethereum wallet,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake mixing,7,mixer,5,mix,5,mixing,5,coin-mixing,5,anonymity,1,No logs,1,hidden service,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake mining,6,miner,5,mine,5,mines,5,mined,5,cloudmining,1,pool,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake donation,11,donation,1,covid-19,1,solidarity,1,philanthropy,1,medical,1,vaccine,1,poor,1,charity,1,coronavirus,1,philanthropies,1,pandemia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malware,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ransomware,22,wannacry,2,bad rabbit,2,ryuk,2,troldesh,2,jigsaw,2,cryptolocker,2,petya,2,goldeneye,2,golden eye,2,grandcrab,2,encrypted ,1,antivirus,1,detect,1,wanacry,2,db,3,database,3,ransomware,2,ransom,1,logger,1,malware,1,client software,1,virus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypto logger,6,logger,5,cryptologger,5,crypto logger,5,malware,1,client software,1,virus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black mail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance-fee scam,22,airdrop,1,bonus,1,promo,1,claim,1,xmas,1,elonmusk,2,elon,2,musk,2,spacex,2,tesla,2,vitalik,2,buterin,2,xiaomi,2,drop,1,promotion,1,award,1,reward,1,faucet,1,giveaway,5,give,1,away,1,gift,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake ICO,22,ICO,5,white paper,5,whitepaper,5,roadmap,5,road map,5,ERC20,2,ERC-20,2,ERC-20 Contract,5,ERC-20 token,5,coin supply,5,max supply,5,total supply,5,total distribution,5,total tokens,5,ICO distribution,5,available supply,5,reserve fund,2,ICO Bonus,5,bonus distribution,2,ICO price,5,Bidaochain,1,Libra,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
