Ponzi,29,ponzi,1,double,1,doubling,1,doubler,1,multiply,1,multiplying,1,multiplier,1,hyip,1,revshare,1,investment,1,investing,1,MLM,1,multilayer,1,multi layer,1,pyramid,1,matrix,1,1:10,1,100%,1,10hrs,1,10x,1,h/w,1,generator,1,invest,1,deposit,1,collateral,1,hyip,1,daily,1,weekly,1,monthly,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake Services,3,service,1,services,1,fake,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake exchange,20,exchange,1,exchanges,1,login,1,SSL,1,fake,1,faker,1,phish,1,phishing,1,paypal,1,bitvestor,1,bitcoinpredict,1,bitfinex,1,btctrade,1,cryptoleaderexchange,1,advcircle.com,1,hyipcircle.com,1,btccircle.com,1,microjobcircle.com,1,criptocircle.com,1,deposit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake wallet,5,wallet,1,deposit,1,etherwallet,1,account,1,accountviewer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake mixing,2,mixing,1,security,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake mining,3,mining,1,cloudmining,1,pool,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake faucet,4,faucet,1,giveaway,2,give,1,away,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake donation,1,donation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malware,7,ransomware,1,ransom,1,logger,1,malware,1,download,1,client software,1,virus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ransomware,16,wannacry,2,bad rabbit,2,ryuk,2,troldesh,2,jigsaw,2,cryptolocker,2,petya,2,golden eye,2,grandcrab,2,encrypted ,1,antivirus,1,detect,1,wanacry,2,db,3,database,3,ransomware,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypto logger,2,logger,1,crypto logger,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black mail,75,blackmail,1,black mail,1,malware,1,ransomware,1,ransom,1,logger,1,letter,1,porn,5,hi,1,hello,1,adult,1,child,2,video,1,vids,2,videotape,2,mail,1,porn,5,sex,5,sexual,5,masturbating,5,stimolation,1,watch,1,visit,1,extortion,5,compromising,1,stolen,1,inappropriate,1,personally,1,blackmailer,3,sextortion,3,emailed,2,sexploition,5,steal,1,cam,2,camera,2,sextape,5,webcam,2,embarrassment,2,footage,2,record,1,investigation,1,virus,1,secret,2,fair,1,images,2,social,1,contacts,1,victim,1,view,1,fbi,1,agent,1,incriminated,1,seen,1,displays,1,reasonable,1,wonder,1,incriminating,1,clips,2,threatening ,1,joke,1,forward,1,videos,2,ashamed,1,threatens,1,recorded,1,email,1,watching,1,evidence,1,masturbatiоn,5,pornography,5,porno,1,history,1,masturbation,5,recording,1,pédophile,5
Exit scam,1,exit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money laundering,1,laundering,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance-fee scam,15,airdrop,1,bonus,1,gift,1,giveaway,1,promo,1,claim,1,xmas,1,elonmusk,1,musk,1,spacex,1,tesla,1,buterin,1,drop,1,promotion,1,reward,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
