Ponzi,29,ponzi,1,double,1,doubling,1,doubler,1,multiply,1,multiplying,1,multiplier,1,hyip,1,revshare,1,investment,1,investing,1,MLM,1,multilayer,1,multi layer,1,pyramid,1,matrix,1,1:10,1,10hrs,1,10x,1,h/w,1,generator,1,invest,1,collateral,1,hyip,1,daily,1,weekly,1,monthly,1,investment,1,plan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake exchange,21,exchange,1,exchanges,1,login,1,SSL,1,phish,1,phishing,1,paypal,1,bitvestor,1,bitcoinpredict,1,bitfinex,1,btctrade,1,cryptoleaderexchange,1,advcircle.com,1,hyipcircle.com,1,btccircle.com,1,microjobcircle.com,1,criptocircle.com,1,service,1,services,1,fake,1,faker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake wallet,7,deposit,1,etherwallet,1,accountviewer,1,service,1,services,1,fake,1,faker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake mixing,7,mixing,2,mixer,2,mix,2,service,1,services,1,fake,1,faker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake mining,7,mining,1,cloudmining,1,pool,1,service,1,services,1,fake,1,faker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake donation,5,donation,1,service,1,services,1,fake,1,faker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ransomware,22,wannacry,2,bad rabbit,2,ryuk,2,troldesh,2,jigsaw,2,cryptolocker,2,petya,2,golden eye,2,grandcrab,2,encrypted ,1,antivirus,1,detect,1,wanacry,2,db,3,database,3,ransomware,2,ransom,1,logger,1,malware,1,download,1,client software,1,virus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crypto logger,8,logger,1,crypto logger,1,ransomware,1,ransom,1,malware,1,download,1,client software,1,virus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black mail,67,virus,1,blackmail,1,black mail,1,mail,1,email,1,emailed,2,letter,1,hi,1,hello,1,adult,1,child,2,video,1,videos,2,vids,2,videotape,2,sextape,5,sex,5,sexual,5,masturbating,5,stimolation,1,watch,1,visit,1,extortion,5,compromising,1,stolen,1,inappropriate,1,personally,1,blackmailer,3,sextortion,3,sexploition,5,steal,1,cam,2,camera,2,webcam,2,embarrassment,2,footage,2,record,1,investigation,1,secret,2,fair,1,images,2,social,1,contacts,1,victim,1,view,1,fbi,1,agent,1,incriminated,1,seen,1,displays,1,reasonable,1,wonder,1,incriminating,1,clips,2,threatening ,1,joke,1,forward,1,ashamed,1,threatens,1,recorded,1,watching,1,evidence,1,masturbatiоn,5,pornography,5,porno,5,history,1,recording,1,pédophile,5
Exit scam,1,exit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money laundering,1,laundering,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance-fee scam,18,airdrop,1,bonus,1,promo,1,claim,1,xmas,1,elonmusk,2,musk,2,spacex,2,tesla,2,buterin,2,drop,1,promotion,1,reward,1,faucet,1,giveaway,2,give,1,away,1,gift,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
